rainfall_mm,soil_moisture_pct,displacement_mm,pore_pressure_kpa,slope_angle_deg,risk_label
18.7,83.7,0.52,22.6,34.7,Safe
112.5,32.5,0.87,16.7,38.5,Safe
23.8,20.7,4.61,44.7,43.9,Safe
75.8,41.8,1.71,20.0,27.0,Watch
47.5,40.2,0.68,31.6,25.2,Safe
62.2,56.9,3.16,16.8,36.1,Watch
64.1,49.2,3.96,27.6,47.7,Warning
17.9,39.7,0.4,36.6,18.4,Safe
75.5,46.6,0.97,34.0,36.0,Watch
13.2,24.8,0.75,41.1,44.9,Safe
23.0,59.9,1.43,9.4,38.2,Safe
63.4,74.1,4.32,28.3,35.3,Warning
16.9,23.4,3.75,22.9,37.4,Safe
5.0,16.6,3.26,15.3,50.0,Safe
54.0,37.8,0.02,18.8,39.9,Watch
8.8,23.0,0.46,16.6,16.5,Safe
67.7,22.0,0.76,35.2,31.2,Safe
32.7,19.8,0.95,36.0,32.9,Safe
53.4,41.5,0.47,43.1,42.3,Safe
52.7,37.6,1.58,34.9,32.8,Safe
71.2,51.7,0.23,32.4,32.2,Watch
64.7,34.9,4.16,31.2,32.4,Safe
16.7,23.1,4.65,40.1,34.4,Safe
34.3,44.7,2.56,0.0,31.1,Safe
53.4,25.9,0.28,29.1,27.8,Safe
107.0,54.2,6.62,34.8,30.5,Danger
65.1,15.0,10.11,56.8,35.1,Watch
101.0,6.0,0.68,13.3,38.2,Safe
55.4,16.0,3.66,12.8,59.4,Safe
87.7,37.5,5.53,0.0,18.7,Safe
50.2,39.8,2.33,9.1,37.9,Safe
85.3,47.5,1.17,27.7,46.8,Warning
31.3,34.8,1.95,19.1,24.3,Safe
115.2,29.8,2.15,18.8,38.8,Watch
60.0,70.8,1.54,30.3,28.4,Safe
10.9,66.0,7.97,38.7,26.8,Watch
54.7,62.8,4.09,30.2,24.7,Watch
65.3,50.6,0.83,30.4,31.1,Watch
77.3,52.0,2.64,36.1,30.7,Watch
141.9,30.5,3.5,2.5,39.5,Watch
27.4,47.6,0.45,31.9,17.6,Safe
142.5,28.1,1.33,28.9,40.5,Watch
41.8,26.0,7.08,29.9,40.3,Safe
22.0,15.9,2.51,21.2,35.1,Safe
27.9,52.3,0.73,26.9,54.9,Watch
62.6,47.9,0.39,36.0,44.3,Watch
19.2,39.5,2.19,54.1,27.0,Safe
31.8,37.2,2.38,4.6,20.1,Safe
53.7,12.1,1.22,38.6,25.1,Safe
114.6,49.6,2.99,48.3,26.2,Warning
75.8,39.3,0.21,10.9,13.7,Safe
43.1,61.1,0.47,27.3,36.9,Safe
62.4,47.6,2.37,34.1,18.9,Safe
50.0,57.7,0.19,60.1,34.3,Watch
14.5,44.9,6.38,62.6,41.4,Watch
127.9,48.3,0.46,10.9,46.0,Danger
115.8,61.8,3.36,25.5,29.5,Warning
39.3,41.5,1.49,33.0,24.8,Safe
28.7,53.5,1.53,38.3,45.4,Watch
14.8,37.0,4.34,33.0,47.1,Safe
65.2,42.6,2.08,15.8,38.8,Safe
65.5,73.7,3.88,15.1,25.1,Watch
20.7,56.5,2.11,6.9,18.8,Safe
50.4,35.3,2.7,0.0,43.2,Safe
74.1,52.6,4.29,6.5,31.4,Watch
27.1,22.0,2.8,47.4,44.4,Watch
35.6,41.0,2.87,40.7,25.3,Safe
35.4,27.8,4.67,38.3,43.1,Safe
21.9,53.1,8.93,26.7,46.1,Watch
36.2,41.6,1.42,29.4,29.6,Safe
9.0,50.1,2.58,26.0,35.1,Safe
33.9,58.9,0.27,6.2,20.4,Safe
34.3,36.7,1.33,39.7,20.6,Safe
39.7,37.4,1.59,42.8,35.2,Safe
59.1,44.3,5.41,12.7,26.6,Watch
13.6,29.5,2.16,12.7,34.4,Safe
16.3,44.8,3.94,35.3,33.6,Safe
21.4,45.7,0.06,35.1,38.5,Safe
12.3,49.1,1.87,41.0,37.3,Safe
64.0,52.6,6.95,51.2,41.2,Warning
26.1,16.1,0.76,14.1,34.3,Safe
40.7,21.9,0.1,28.8,35.1,Safe
19.8,24.0,1.7,15.0,32.0,Safe
31.1,46.7,3.66,16.1,42.5,Safe
52.2,39.9,1.82,23.6,50.4,Safe
54.0,5.0,1.85,51.6,39.5,Safe
16.9,80.0,3.32,46.6,37.0,Warning
39.1,9.2,0.88,28.9,29.8,Safe
20.1,45.5,4.18,0.0,34.4,Safe
38.0,55.1,0.5,35.9,28.1,Watch
24.3,32.0,1.51,35.5,25.8,Safe
133.2,56.5,3.2,16.0,30.0,Danger
73.9,26.9,5.29,42.5,49.9,Watch
55.7,48.1,4.7,15.7,31.2,Watch
33.3,5.8,3.84,42.4,48.2,Safe
75.3,66.1,1.33,33.6,22.3,Watch
40.0,45.0,0.39,8.1,33.4,Safe
124.4,16.3,0.73,24.6,39.2,Safe
80.5,56.3,6.0,32.2,39.7,Watch
30.9,74.4,5.84,34.5,21.2,Watch
115.2,28.3,9.08,45.5,19.8,Warning
33.4,41.2,0.24,47.4,38.2,Safe
138.3,35.7,2.31,26.4,26.5,Warning
119.3,31.1,3.14,38.4,38.3,Warning
52.0,29.2,3.72,54.1,46.4,Warning
9.4,33.4,3.1,14.7,25.4,Safe
49.1,34.3,4.41,20.9,26.8,Safe
15.3,38.6,1.34,5.2,11.7,Safe
25.0,37.3,0.59,20.5,40.0,Safe
26.6,58.7,0.69,33.1,53.3,Safe
15.2,57.1,0.04,0.0,19.5,Safe
49.2,17.4,1.29,36.6,44.4,Safe
22.5,34.3,0.29,22.9,45.4,Safe
34.7,67.5,1.16,29.1,39.8,Watch
26.8,50.3,2.97,12.5,25.9,Safe
59.3,51.0,6.75,28.5,29.6,Watch
56.3,49.3,5.49,55.2,37.5,Danger
32.5,40.3,0.87,24.0,37.2,Safe
61.4,44.3,0.43,0.0,29.5,Safe
95.2,37.7,0.64,48.2,36.6,Safe
4.1,60.4,10.62,38.1,28.4,Watch
25.5,37.9,2.39,31.4,30.9,Safe
18.2,43.0,0.6,38.5,30.0,Safe
23.6,58.2,5.51,31.2,42.9,Watch
3.1,39.1,1.51,54.6,17.7,Safe
3.9,43.7,6.88,41.3,38.5,Safe
27.5,38.6,0.91,23.2,35.6,Watch
26.9,43.4,1.5,52.4,9.3,Safe
104.5,39.2,2.11,57.3,40.7,Warning
46.4,35.4,6.69,43.7,42.0,Watch
60.3,32.3,6.09,36.1,27.9,Safe
340.3,41.9,2.56,17.2,36.8,Danger
125.8,63.3,0.75,40.3,34.7,Warning
40.2,56.2,1.55,35.8,54.3,Watch
29.4,16.6,11.14,29.6,37.0,Safe
25.8,37.3,2.81,40.5,33.1,Safe
53.2,33.5,4.56,31.3,42.9,Watch
29.6,16.9,1.79,38.2,48.1,Safe
14.8,50.0,2.28,45.5,52.7,Safe
26.7,43.3,1.68,10.0,26.0,Safe
54.3,81.4,3.64,14.6,36.3,Watch
67.9,39.0,5.72,16.3,25.8,Watch
134.3,31.0,2.12,59.1,55.2,Danger
44.9,29.3,1.97,39.5,32.5,Safe
99.0,36.9,1.25,40.9,41.6,Watch
35.7,55.6,0.58,46.9,30.3,Watch
39.6,57.7,8.4,14.3,37.0,Warning
38.0,97.7,1.14,0.0,13.9,Watch
49.0,23.3,4.84,29.1,42.4,Safe
76.5,46.6,3.77,43.5,45.0,Warning
28.6,32.7,4.7,27.0,26.1,Safe
19.1,51.3,8.28,9.5,13.9,Safe
80.7,69.9,2.93,16.4,46.8,Warning
76.8,60.5,6.85,12.3,45.6,Watch
109.6,23.3,0.55,20.8,39.9,Watch
25.1,57.3,2.96,12.6,30.1,Safe
34.7,7.0,4.44,32.2,29.2,Safe
82.8,5.0,0.95,21.8,45.3,Safe
28.4,40.5,4.05,39.5,28.8,Watch
65.9,56.0,4.52,15.4,33.6,Watch
35.8,51.3,5.34,33.8,31.9,Watch
53.0,79.3,1.13,29.4,35.3,Warning
14.5,47.0,3.43,35.9,30.9,Safe
44.5,43.1,1.09,38.1,32.1,Safe
94.0,65.8,4.03,39.7,49.9,Danger
72.1,38.3,1.87,42.5,37.2,Watch
17.9,52.0,2.73,38.1,35.8,Safe
127.3,53.1,1.61,34.5,40.2,Warning
90.1,27.5,0.53,20.0,20.8,Safe
15.2,52.0,0.59,42.8,42.2,Safe
26.8,84.3,0.24,19.5,35.0,Safe
16.0,65.5,2.89,25.6,25.8,Safe
54.1,29.9,5.66,17.1,31.0,Watch
25.8,87.1,0.06,16.8,37.3,Safe
5.4,57.4,0.21,25.2,32.9,Safe
39.5,52.6,1.83,26.5,42.9,Safe
78.5,43.3,4.02,17.8,24.5,Safe
45.2,57.3,0.51,30.3,20.7,Watch
61.8,47.0,0.95,32.4,24.4,Safe
48.5,45.4,0.79,21.8,27.9,Watch
70.1,42.6,1.53,64.3,33.3,Watch
51.7,62.5,0.76,35.0,28.7,Safe
37.8,60.5,1.3,31.8,20.1,Watch
44.8,42.3,3.91,19.9,18.5,Safe
112.3,17.7,2.83,32.1,19.2,Watch
64.3,45.6,0.25,33.6,29.1,Safe
17.9,32.1,3.05,29.9,23.9,Safe
44.2,36.5,1.94,51.3,28.2,Safe
53.4,42.8,8.18,4.5,45.3,Safe
36.9,25.9,1.02,24.3,20.3,Safe
5.4,16.0,3.89,40.7,35.0,Safe
19.6,50.3,3.94,16.6,20.2,Safe
29.7,45.5,0.75,6.8,18.7,Safe
137.1,44.8,7.01,22.2,35.7,Danger
59.4,54.2,2.03,45.7,38.7,Warning
9.0,33.1,3.41,16.9,39.9,Safe
38.7,51.0,0.47,24.7,43.1,Safe
100.8,69.1,0.89,36.3,30.2,Warning
25.5,40.4,2.65,21.3,34.7,Safe
85.0,79.2,1.15,23.4,28.1,Warning
9.4,45.9,2.08,20.2,44.9,Safe
0.8,29.7,1.41,21.5,22.9,Safe
93.7,60.3,3.07,12.6,37.0,Watch
28.4,43.0,2.0,26.1,21.3,Safe
30.3,63.9,0.01,46.0,33.1,Watch
48.1,52.4,3.15,53.7,15.9,Safe
57.9,39.1,1.65,48.7,34.3,Warning
1.9,72.4,1.25,32.1,51.7,Watch
23.8,36.0,0.3,54.9,26.4,Safe
43.6,6.0,0.75,64.5,29.6,Safe
57.8,60.9,0.76,32.7,40.7,Safe
17.7,51.3,8.22,15.1,32.4,Watch
35.3,68.1,1.7,49.7,44.2,Watch
25.5,29.1,0.13,11.9,35.9,Safe
49.3,40.6,0.45,16.7,40.8,Safe
91.4,38.5,0.25,0.0,12.2,Safe
31.7,61.8,2.67,40.9,32.9,Watch
11.2,56.7,0.62,0.0,20.9,Safe
22.7,48.9,2.07,44.9,28.1,Safe
126.5,49.0,1.39,57.1,36.3,Warning
19.7,24.3,4.89,55.9,29.7,Safe
13.7,58.8,1.16,11.0,24.2,Safe
30.2,59.2,1.84,2.0,44.5,Safe
38.7,86.2,3.83,20.4,42.1,Watch
26.8,53.5,1.7,43.2,18.3,Watch
9.4,56.4,4.73,48.1,39.6,Safe
52.9,53.6,3.25,40.0,33.7,Warning
49.4,32.5,1.59,37.9,34.4,Safe
68.3,67.5,2.1,65.4,47.6,Danger
48.5,44.0,10.25,22.8,33.5,Watch
119.6,41.5,3.25,18.3,39.1,Watch
72.0,42.6,7.06,12.2,34.1,Warning
62.2,43.8,0.59,36.5,34.2,Watch
93.7,36.2,1.98,27.3,22.7,Watch
46.4,48.9,7.18,42.4,56.5,Warning
36.0,43.3,1.17,23.2,5.0,Safe
52.5,41.7,10.29,39.4,24.7,Safe
5.1,53.8,0.31,24.2,27.1,Safe
46.5,46.4,6.99,27.6,41.1,Watch
38.7,35.0,1.77,29.0,17.9,Safe
56.7,31.3,0.23,4.5,30.2,Safe
85.1,46.8,6.35,27.9,39.9,Watch
63.5,31.6,0.87,38.4,19.8,Safe
22.8,30.3,0.07,15.2,30.6,Safe
75.8,30.5,0.44,58.7,30.3,Safe
120.8,49.6,3.23,30.1,26.0,Warning
86.7,66.5,11.42,20.6,32.4,Warning
12.3,51.3,0.35,20.1,27.7,Safe
63.0,61.0,1.86,50.6,41.7,Watch
14.3,43.7,0.6,17.6,37.3,Safe
33.2,47.6,4.1,34.5,30.2,Safe
55.5,74.8,0.38,43.2,32.7,Watch
50.3,59.9,0.82,38.3,28.1,Safe
85.5,61.9,0.66,21.6,45.4,Warning
121.2,40.2,2.41,42.6,36.5,Warning
59.6,44.9,6.2,32.3,30.6,Watch
31.1,52.3,2.15,4.2,36.4,Safe
5.4,34.1,0.18,48.3,50.9,Safe
100.3,5.0,2.49,20.8,25.1,Watch
38.9,52.1,4.79,27.4,40.8,Watch
40.5,62.3,0.43,34.6,36.1,Watch
43.0,46.0,0.23,22.0,29.8,Safe
57.7,34.3,0.62,41.4,24.7,Safe
58.9,39.0,4.11,13.4,40.6,Warning
33.6,8.5,2.69,21.4,34.9,Safe
38.5,39.0,2.33,48.4,46.4,Safe
25.1,24.9,0.86,30.4,43.7,Safe
22.7,32.4,1.21,14.1,35.0,Safe
22.6,24.0,10.13,31.2,24.8,Safe
38.2,21.9,0.83,36.0,52.5,Safe
18.9,26.9,6.96,6.2,25.8,Safe
0.6,56.4,2.61,54.8,40.3,Safe
30.7,35.8,0.39,56.8,14.3,Safe
13.1,25.1,1.89,31.8,47.7,Safe
45.3,58.6,8.9,27.0,11.7,Safe
25.0,47.3,1.63,30.3,28.9,Safe
58.2,5.0,5.97,43.4,21.4,Safe
14.4,62.9,0.89,36.8,46.0,Watch
6.8,46.3,2.54,33.6,24.6,Safe
38.6,58.9,5.57,50.7,37.3,Warning
29.6,40.9,7.6,47.0,34.7,Watch
12.0,73.9,2.0,15.6,17.5,Safe
72.1,38.1,3.06,43.3,42.3,Safe
17.0,5.0,0.01,47.3,31.8,Safe
21.8,29.0,0.88,34.2,47.1,Safe
81.7,54.0,0.98,39.0,38.1,Warning
60.6,47.9,0.29,25.4,24.4,Safe
15.2,42.8,0.98,11.9,30.0,Safe
31.9,27.2,1.16,58.3,29.7,Safe
13.7,45.3,10.4,9.9,39.8,Safe
77.7,44.7,3.31,55.2,39.5,Watch
77.6,44.6,1.67,29.0,25.3,Safe
133.0,54.7,13.28,48.7,41.5,Danger
167.2,48.3,0.5,30.3,36.1,Danger
24.7,40.5,1.94,44.1,38.7,Safe
69.2,27.0,3.12,36.7,37.2,Watch
5.7,69.5,0.17,20.0,40.3,Safe
47.9,80.7,3.79,32.0,22.7,Warning
57.0,76.4,0.32,27.9,33.9,Watch
17.9,57.6,0.45,39.6,42.1,Safe
23.4,14.8,0.52,32.1,43.2,Safe
78.0,12.6,7.93,34.3,43.1,Watch
58.0,35.1,3.45,14.6,23.1,Safe
122.0,44.0,3.2,10.8,52.8,Warning
112.7,43.3,2.43,31.1,49.7,Danger
7.8,48.5,1.04,32.7,23.3,Safe
26.9,19.9,2.91,14.2,29.0,Safe
16.1,73.9,1.58,38.6,38.9,Safe
71.2,72.1,0.47,39.2,24.8,Watch
51.5,21.4,3.51,32.3,37.8,Safe
17.2,11.5,0.42,30.2,34.1,Safe
19.9,43.4,0.63,11.0,44.9,Safe
96.4,67.7,5.11,10.7,36.3,Warning
29.6,44.4,3.24,35.9,11.7,Safe
4.5,49.7,2.99,17.6,40.6,Safe
15.8,37.1,1.62,18.6,44.3,Safe
138.8,47.6,1.51,34.2,31.4,Watch
83.4,62.0,3.52,60.6,33.5,Watch
12.9,52.4,4.04,24.0,33.5,Safe
47.9,55.4,2.14,60.8,26.1,Watch
79.9,15.1,10.45,28.9,56.7,Warning
7.7,83.5,9.35,38.5,24.2,Watch
86.0,15.3,1.6,44.4,41.3,Watch
57.6,47.8,5.15,45.5,41.2,Warning
22.2,42.3,2.35,35.1,27.4,Watch
64.3,43.1,2.15,26.6,22.6,Safe
52.0,60.7,0.17,42.4,30.9,Watch
54.7,32.3,2.56,36.4,39.0,Watch
46.6,37.2,6.93,23.5,35.1,Watch
19.2,24.4,4.54,51.1,50.2,Safe
22.6,65.2,4.63,36.9,26.1,Safe
34.4,49.8,0.52,18.8,26.4,Safe
43.2,56.5,1.33,17.0,40.8,Safe
67.0,59.6,0.8,59.4,15.3,Watch
141.0,80.8,1.14,22.6,26.4,Warning
49.6,77.7,2.6,41.3,30.7,Watch
66.2,50.8,1.36,35.7,31.9,Safe
77.1,47.8,2.47,40.8,26.9,Watch
69.5,35.4,1.73,58.7,13.8,Watch
18.5,58.4,1.01,45.0,46.1,Safe
102.5,57.7,0.3,42.5,45.6,Warning
92.0,31.9,6.67,27.0,15.4,Safe
46.2,58.0,0.03,20.0,38.7,Safe
19.6,63.2,0.0,66.3,30.6,Watch
42.6,24.8,5.26,29.4,37.6,Watch
8.9,48.4,17.24,28.4,34.8,Warning
111.5,43.8,3.9,34.3,17.4,Warning
24.5,44.9,0.05,32.9,40.0,Safe
33.0,27.9,0.77,53.9,26.5,Safe
106.3,12.1,10.71,38.1,6.0,Warning
98.0,31.4,4.96,10.4,34.0,Watch
53.6,28.9,2.51,20.1,16.4,Safe
122.6,51.4,0.81,30.2,43.4,Danger
18.0,51.7,0.04,45.4,29.1,Safe
53.6,50.6,0.06,7.2,32.8,Safe
18.1,19.9,2.84,37.4,37.2,Safe
88.3,24.8,0.07,41.0,33.0,Watch
86.2,33.9,15.17,43.2,26.1,Warning
128.3,45.4,0.61,28.8,43.3,Warning
41.7,39.0,3.72,45.7,30.9,Safe
151.8,50.6,0.51,17.8,20.8,Watch
16.7,62.6,2.33,44.2,35.5,Safe
40.0,27.0,0.25,29.1,31.2,Safe
17.3,27.7,4.37,30.6,31.8,Safe
48.3,47.4,2.64,30.5,33.3,Watch
18.8,43.5,0.27,39.8,32.6,Safe
88.4,58.4,5.66,13.4,46.6,Warning
59.0,45.1,2.38,43.3,24.0,Watch
15.4,76.3,7.64,43.1,11.2,Watch
74.8,16.4,7.45,25.5,32.0,Safe
116.9,60.1,7.6,30.0,40.3,Danger
63.1,48.6,0.24,17.1,16.4,Safe
11.3,19.7,0.39,12.6,35.6,Safe
37.0,7.8,13.2,33.0,17.9,Safe
68.9,24.7,2.01,33.1,40.4,Safe
34.3,66.8,0.82,24.9,32.1,Safe
16.5,64.7,4.4,11.3,23.2,Safe
95.3,42.7,0.92,36.9,16.0,Watch
33.1,38.5,3.9,24.6,53.8,Safe
117.0,29.6,5.45,18.8,55.1,Warning
27.1,41.6,4.6,49.1,21.2,Safe
31.6,36.5,0.96,15.4,21.0,Safe
25.3,75.8,1.54,38.4,32.8,Watch
36.5,22.7,1.6,7.5,28.1,Safe
58.3,52.1,2.03,8.5,28.7,Safe
17.4,76.6,0.55,37.2,34.8,Watch
14.4,58.9,1.81,25.0,51.2,Safe
7.5,24.8,2.14,12.5,45.6,Safe
6.4,17.2,2.28,44.2,28.8,Safe
11.4,49.9,5.14,35.6,39.2,Safe
26.9,47.7,2.19,0.0,13.5,Safe
47.7,67.2,0.79,44.4,33.4,Watch
56.0,54.9,3.26,14.0,29.6,Safe
46.0,36.3,4.79,4.4,41.6,Safe
108.2,35.1,1.15,17.7,38.2,Watch
131.4,21.5,3.11,29.4,35.1,Watch
33.3,47.3,0.48,31.2,36.6,Watch
17.6,19.7,1.26,5.5,27.7,Safe
157.9,61.4,7.2,8.8,41.7,Danger
93.1,55.6,7.27,18.6,36.6,Watch
88.5,55.0,2.57,19.5,30.4,Watch
26.0,21.2,3.64,41.4,33.0,Safe
76.1,42.3,5.77,23.8,40.4,Watch
46.3,38.0,9.55,41.1,41.4,Watch
39.3,46.9,2.02,46.4,28.6,Safe
39.3,54.5,2.47,38.3,23.1,Watch
60.2,35.8,1.61,0.0,27.4,Safe
110.6,36.4,0.22,25.4,28.0,Safe
166.4,57.2,1.65,27.5,33.2,Danger
29.9,24.7,4.69,29.2,44.0,Safe
48.3,31.6,4.9,0.0,27.3,Safe
38.6,45.1,6.69,18.5,35.9,Watch
57.4,61.2,0.16,9.6,30.2,Watch
34.9,27.6,2.25,16.1,32.2,Safe
23.5,77.2,0.34,26.1,35.0,Safe
30.0,20.7,0.67,18.9,44.0,Safe
26.3,72.9,6.91,17.2,34.5,Watch
37.1,66.6,2.06,27.0,6.2,Safe
12.3,19.3,4.26,22.6,30.0,Safe
26.7,15.6,0.2,33.0,47.7,Safe
57.0,58.0,1.62,23.7,43.4,Safe
56.7,38.2,3.36,6.5,39.9,Safe
50.4,26.9,0.43,14.5,43.8,Safe
104.2,77.6,1.18,25.1,40.2,Warning
58.6,23.5,0.2,23.3,43.6,Safe
102.0,31.9,3.16,8.8,20.8,Safe
166.5,34.0,10.61,40.1,31.4,Danger
77.5,5.0,5.26,34.7,33.5,Safe
12.4,46.6,11.02,21.0,32.5,Watch
51.8,28.6,5.6,27.5,26.2,Watch
46.4,59.6,5.8,13.9,33.5,Safe
116.8,61.9,2.58,42.8,15.0,Danger
38.2,49.2,2.19,61.0,36.5,Warning
20.7,49.4,1.56,20.3,25.3,Safe
28.1,47.9,5.11,48.4,10.2,Watch
12.9,32.4,0.6,17.1,32.2,Safe
149.3,33.9,0.17,22.0,47.5,Warning
42.3,68.8,8.86,51.5,13.0,Watch
14.1,58.2,0.01,28.2,29.6,Safe
123.9,48.7,11.29,40.3,15.8,Danger
137.8,55.8,3.92,26.0,34.6,Danger
47.6,43.9,1.19,3.0,40.7,Safe
11.7,48.3,3.59,65.1,23.9,Safe
28.7,55.7,5.11,26.7,27.8,Safe
35.0,7.7,0.84,32.3,30.5,Safe
43.4,61.3,4.42,19.0,44.4,Watch
16.0,60.0,4.89,41.7,18.0,Safe
81.9,30.9,0.86,40.6,27.5,Watch
4.0,67.4,0.13,6.6,47.7,Safe
91.1,5.1,0.68,32.6,24.7,Safe
104.3,51.4,0.67,43.2,28.1,Watch
31.1,45.7,0.2,48.0,33.8,Safe
39.6,39.4,3.88,39.7,55.3,Warning
113.1,45.3,1.43,41.0,20.8,Watch
67.0,55.5,6.47,21.9,39.6,Warning
32.0,12.5,0.87,11.6,20.1,Safe
35.2,63.0,1.81,25.3,21.9,Watch
60.5,37.6,3.06,11.2,26.9,Safe
140.5,63.3,6.3,18.9,36.6,Danger
36.0,56.6,2.23,18.7,26.5,Safe
31.2,37.2,1.4,15.9,33.3,Safe
43.1,43.6,6.05,38.0,24.8,Safe
43.3,44.6,1.11,14.8,32.8,Watch
53.0,73.9,0.25,57.5,19.0,Watch
39.7,24.5,1.77,44.8,19.3,Safe
94.8,37.1,4.61,47.8,26.9,Warning
19.3,16.5,0.09,19.7,38.1,Safe
57.3,47.2,2.64,33.0,33.9,Safe
59.0,33.8,2.71,14.4,24.3,Safe
20.9,36.0,7.92,33.3,20.7,Safe
56.9,71.7,1.01,3.5,42.3,Watch
60.1,30.2,0.98,45.9,45.6,Watch
1.9,42.1,1.74,20.3,37.1,Safe
17.6,36.7,1.32,34.5,35.6,Safe
119.5,37.9,4.0,37.3,10.6,Watch
25.6,94.9,3.08,21.7,37.9,Warning
14.1,13.8,4.27,18.0,47.9,Safe
6.1,56.6,5.15,28.2,42.7,Safe
16.1,88.7,7.69,42.0,42.2,Warning
38.4,64.4,1.69,27.8,15.4,Watch
13.1,45.8,12.54,39.0,25.0,Watch
67.6,23.9,0.73,41.9,30.6,Safe
20.6,68.5,3.76,27.1,24.9,Watch
53.3,61.9,2.29,28.3,20.4,Watch
108.2,17.5,5.09,32.1,36.2,Watch
103.8,39.2,1.94,47.1,42.0,Watch
52.6,23.3,4.6,24.9,18.0,Safe
15.1,5.0,7.99,47.1,42.4,Safe
40.5,22.9,3.95,33.8,34.2,Warning
53.9,46.9,4.49,19.0,48.2,Safe
186.7,55.4,0.21,29.4,39.9,Danger
6.0,39.2,0.69,13.2,33.3,Safe
40.6,69.7,10.98,9.8,33.4,Warning
65.9,63.5,3.54,39.1,32.0,Watch
45.8,42.7,2.47,42.0,50.2,Warning
49.6,40.5,1.37,29.5,38.1,Safe
21.7,51.9,0.14,30.7,28.3,Safe
80.9,44.7,1.38,21.3,37.7,Watch
43.4,19.3,2.07,32.5,36.7,Safe
49.5,39.7,0.71,59.7,27.8,Watch
86.8,57.0,0.57,45.1,23.8,Watch
32.8,68.7,2.13,28.9,43.8,Watch
100.0,62.3,2.64,27.6,29.4,Watch
12.6,51.0,0.82,24.4,28.8,Safe
51.6,71.2,2.66,8.8,37.8,Safe
20.5,52.6,6.92,22.8,26.8,Safe
15.9,43.4,1.92,40.1,34.3,Safe
139.5,71.6,5.84,16.0,28.2,Warning
13.3,58.0,7.86,25.8,6.2,Watch
44.0,68.4,0.29,13.2,35.9,Safe
12.3,23.6,0.3,41.8,34.6,Safe
95.8,29.5,1.94,10.9,35.5,Safe
30.1,30.3,2.66,38.9,11.2,Safe
86.5,48.3,1.66,45.4,18.5,Watch
64.4,77.8,1.19,25.1,43.6,Watch
169.0,24.5,3.07,19.7,32.7,Watch
9.8,61.3,0.01,37.1,13.1,Safe
17.5,23.4,10.33,54.0,32.8,Watch
83.4,83.1,0.79,50.1,16.3,Warning
53.5,16.3,7.47,28.9,26.3,Watch
34.7,58.3,0.35,16.8,34.5,Safe
149.0,60.8,0.82,26.5,34.6,Danger
41.7,56.2,0.8,4.7,42.1,Safe
21.2,29.2,16.68,21.7,36.7,Watch
87.3,26.0,0.01,36.8,37.3,Safe
42.8,67.9,3.06,24.5,28.2,Safe
45.4,63.9,6.11,21.0,23.5,Warning
68.3,63.6,3.35,29.2,32.5,Watch
70.2,65.8,1.35,26.0,42.2,Watch
17.3,17.4,9.53,41.3,40.3,Safe
33.2,16.8,6.72,10.1,30.0,Safe
11.2,32.9,1.71,37.9,31.4,Safe
54.1,36.4,2.56,29.3,23.0,Safe
137.8,34.4,10.28,36.5,43.5,Danger
18.0,50.0,12.15,9.2,48.2,Watch
9.1,65.1,1.79,43.2,36.4,Watch
24.4,39.7,5.64,38.1,15.6,Safe
34.5,30.3,1.08,55.1,38.7,Safe
70.6,59.6,1.39,17.5,48.5,Watch
31.7,39.9,0.54,21.2,20.8,Safe
54.8,46.9,0.7,3.2,40.5,Safe
27.6,39.0,3.21,17.6,30.1,Safe
36.0,51.1,2.14,51.5,44.4,Safe
20.6,26.7,0.79,34.4,20.4,Safe
15.1,58.1,1.55,19.1,27.7,Safe
72.4,44.4,1.4,32.0,16.3,Safe
29.2,31.2,13.11,29.1,35.4,Watch
57.7,54.6,5.76,1.4,37.5,Watch
20.3,31.2,1.47,4.1,35.4,Safe
41.9,32.0,7.36,46.6,26.8,Safe
4.1,23.4,1.26,41.0,27.6,Safe
31.1,14.3,3.31,7.7,28.7,Safe
22.3,54.6,10.2,28.1,40.9,Warning
93.2,66.0,1.48,19.3,17.5,Watch
12.8,36.9,3.42,46.3,28.6,Safe
37.2,30.6,1.05,36.7,17.3,Safe
53.6,12.4,0.93,13.4,27.9,Safe
84.5,5.9,2.56,31.8,31.9,Watch
76.6,58.1,11.63,29.4,53.0,Danger
39.6,9.5,1.81,29.4,25.3,Safe
44.1,24.4,8.32,22.3,42.3,Safe
93.2,50.1,7.37,30.4,14.9,Danger
39.0,46.6,0.88,17.2,32.4,Safe
47.7,50.8,1.54,12.2,32.4,Safe
95.3,45.1,3.09,11.3,39.5,Warning
184.4,38.6,2.19,14.3,26.5,Warning
50.8,24.5,0.3,36.3,24.2,Safe
61.4,33.6,15.2,36.7,11.2,Warning
75.1,39.8,4.19,51.9,35.3,Watch
94.6,11.0,1.73,26.6,25.6,Safe
86.0,30.8,2.89,40.5,42.3,Watch
25.8,38.3,0.27,30.7,37.1,Safe
53.3,32.6,2.05,34.5,43.9,Safe
86.4,38.8,8.01,42.1,23.3,Warning
108.3,57.0,6.81,38.7,34.0,Danger
37.3,59.2,1.23,31.6,33.9,Safe
52.4,72.2,2.27,20.8,27.0,Watch
56.9,17.9,3.59,34.1,44.3,Watch
43.0,37.4,1.25,50.5,39.8,Safe
51.4,67.1,0.2,32.6,52.3,Safe
258.4,13.6,2.11,24.1,38.9,Danger
